srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID,diffranks
eng,fin,2,2,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,3,newstest2015.UU-unconstrained.3946.en-fi.txt,5,15939,-2
eng,fin,4,4,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,5,9566,-4
eng,fin,6,6,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,2,1900,-1
eng,fin,6,6,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,2,4306,-1
eng,fin,6,6,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,2,15456,-1
eng,fin,7,7,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,3,6919,-2
eng,fin,8,8,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,2,16161,-1
eng,fin,13,13,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,2,4237,-1
eng,fin,15,15,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,newstest2015.UU-unconstrained.3946.en-fi.txt,3,6783,1
eng,fin,20,20,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.UU-unconstrained.3946.en-fi.txt,5,4360,-3
eng,fin,20,20,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,4,16306,-3
eng,fin,22,22,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.UU-unconstrained.3946.en-fi.txt,2,16079,0
eng,fin,22,22,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,1,16318,0
eng,fin,22,22,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,newstest2015.UU-unconstrained.3946.en-fi.txt,2,16329,0
eng,fin,23,23,judge14,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,newstest2015.UU-unconstrained.3946.en-fi.txt,5,1707,-1
eng,fin,26,26,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,newstest2015.UU-unconstrained.3946.en-fi.txt,1,6979,3
eng,fin,27,27,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,5,7005,-4
eng,fin,27,27,judge13,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,4,16197,-3
eng,fin,29,29,judge15,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,newstest2015.UU-unconstrained.3946.en-fi.txt,4,15598,-3
