srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID,diffranks
eng,fin,6,6,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,15502,-1
eng,fin,6,6,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,16412,-1
eng,fin,8,8,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,16408,-1
eng,fin,15,15,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,9604,-2
eng,fin,18,18,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,4,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,15557,-2
eng,fin,18,18,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,16293,-1
eng,fin,24,24,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,16461,0
eng,fin,29,29,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,4,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,15261,-2
eng,fin,31,31,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,15798,3
eng,fin,33,33,judge77,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,4435,2
eng,fin,33,33,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,4,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,4492,1
eng,fin,34,34,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,15509,3
eng,fin,35,35,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,15605,0
eng,fin,36,36,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,15922,2
eng,fin,36,36,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,16465,2
eng,fin,37,37,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,15923,3
eng,fin,37,37,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,16466,4
eng,fin,38,38,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,6811,1
eng,fin,39,39,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,15966,-1
eng,fin,41,41,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,1,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,4,6955,3
eng,fin,41,41,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,15330,0
eng,fin,48,48,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,15632,0
eng,fin,53,53,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,5,15438,3
eng,fin,54,54,judge15,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,1697,-2
eng,fin,54,54,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,3,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,15439,-1
eng,fin,55,55,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,5,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,2,4293,-3
eng,fin,61,61,judge13,newstest2015.UU-unconstrained.3946.en-fi.txt,2,newstest2015.abumatran-uncons-combo.4121.en-fi.txt,1,16351,-1
